"ROUTE","Route of Travel","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"01","Air Cross Channel","1992","1992","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7"
"01","Air Cross Channel","1992","1992","TMA04C3","Visits Abroad by Irish Residents","Thousand","874"
"01","Air Cross Channel","1992","1992","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.2"
"01","Air Cross Channel","1993","1993","TMA04C1","Visitors to Ireland","Thousand","1304"
"01","Air Cross Channel","1993","1993","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"01","Air Cross Channel","1993","1993","TMA04C3","Visits Abroad by Irish Residents","Thousand","871"
"01","Air Cross Channel","1993","1993","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.3"
"01","Air Cross Channel","1994","1994","TMA04C1","Visitors to Ireland","Thousand","1488"
"01","Air Cross Channel","1994","1994","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.1"
"01","Air Cross Channel","1994","1994","TMA04C3","Visits Abroad by Irish Residents","Thousand","1071"
"01","Air Cross Channel","1994","1994","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.1"
"01","Air Cross Channel","1995","1995","TMA04C1","Visitors to Ireland","Thousand","1799"
"01","Air Cross Channel","1995","1995","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"01","Air Cross Channel","1995","1995","TMA04C3","Visits Abroad by Irish Residents","Thousand","1200"
"01","Air Cross Channel","1995","1995","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"01","Air Cross Channel","1996","1996","TMA04C1","Visitors to Ireland","Thousand","2064"
"01","Air Cross Channel","1996","1996","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"01","Air Cross Channel","1996","1996","TMA04C3","Visits Abroad by Irish Residents","Thousand","1398"
"01","Air Cross Channel","1996","1996","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.7"
"01","Air Cross Channel","1997","1997","TMA04C1","Visitors to Ireland","Thousand","2305"
"01","Air Cross Channel","1997","1997","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"01","Air Cross Channel","1997","1997","TMA04C3","Visits Abroad by Irish Residents","Thousand","1570"
"01","Air Cross Channel","1997","1997","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.6"
"01","Air Cross Channel","1998","1998","TMA04C1","Visitors to Ireland","Thousand","2570"
"01","Air Cross Channel","1998","1998","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.2"
"01","Air Cross Channel","1998","1998","TMA04C3","Visits Abroad by Irish Residents","Thousand","1641"
