"ROUTE","Route of Travel","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"01","Air Cross Channel","19854","1985Q4","TMQ01C1","Visitors to Ireland","Thousand","112"
"01","Air Cross Channel","19854","1985Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","95"
"01","Air Cross Channel","19861","1986Q1","TMQ01C1","Visitors to Ireland","Thousand","106"
"01","Air Cross Channel","19861","1986Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","86"
"01","Air Cross Channel","19862","1986Q2","TMQ01C1","Visitors to Ireland","Thousand","129"
"01","Air Cross Channel","19862","1986Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","101"
"01","Air Cross Channel","19863","1986Q3","TMQ01C1","Visitors to Ireland","Thousand","201"
"01","Air Cross Channel","19863","1986Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","152"
"01","Air Cross Channel","19864","1986Q4","TMQ01C1","Visitors to Ireland","Thousand","143"
"01","Air Cross Channel","19864","1986Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","123"
"01","Air Cross Channel","19871","1987Q1","TMQ01C1","Visitors to Ireland","Thousand","141"
"01","Air Cross Channel","19871","1987Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","99"
"01","Air Cross Channel","19872","1987Q2","TMQ01C1","Visitors to Ireland","Thousand","185"
"01","Air Cross Channel","19872","1987Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","141"
"01","Air Cross Channel","19873","1987Q3","TMQ01C1","Visitors to Ireland","Thousand","270"
"01","Air Cross Channel","19873","1987Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","198"
"01","Air Cross Channel","19874","1987Q4","TMQ01C1","Visitors to Ireland","Thousand","172"
"01","Air Cross Channel","19874","1987Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","158"
"01","Air Cross Channel","19881","1988Q1","TMQ01C1","Visitors to Ireland","Thousand","183"
"01","Air Cross Channel","19881","1988Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","145"
"01","Air Cross Channel","19882","1988Q2","TMQ01C1","Visitors to Ireland","Thousand","239"
"01","Air Cross Channel","19882","1988Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","180"
"01","Air Cross Channel","19883","1988Q3","TMQ01C1","Visitors to Ireland","Thousand","339"
"01","Air Cross Channel","19883","1988Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","244"
